Abia,6320,3727300
Adamawa,36917,4248400
Akwa Ibom,7081,5482200
Anambra,4844,5527800
Bauchi,45837,6537300
Bayelsa,10773,2278000
Benue,34059,5741800
Borno,70898,5860200
Cross River,20156,3866300
Delta,17698,5663400
Ebonyi,5670,2880400
Edo,17802,4235600
Ekiti,6353,3270800
Enugu,7161,4411100
Federal Capital Territory,7315,3564100
Gombe,18768,3257000
Imo,5530,5408800
Jigawa,23154,5828200
Kaduna,46053,8252400
Kano,20131,13076900
Katsina,24192,7831300
Kebbi,36800,4440000
Kogi,29833,4473500
Kwara,36825,3192900
Lagos,3345,12550600
Nasarawa,27117,2523400
Niger,76363,5556200
Ogun,16762,5217700
Ondo,14606,4671700
Osun,9251,4705600
Oyo,28454,7840900
Plateau,30913,4200400
Rivers,11077,7303900
Sokoto,25973,4998100
Taraba,54473,3066800
Yobe,45502,3294100
Zamfara,39762,4515400